name,aspect,sentiment,confidence,quote
Анна,speed,negative,1.0,"приложение удобное, но иногда подвисает – это бесит, когда клиент ждет."
Анна,speed,positive,1.0,"переводы обычно шустрые, но бывают лаги в пиковые часы."
Анна,support,negative,1.0,"Поддержка – больная тема. Дозвониться невозможно, в чате бот тупит."
Анна,feature,negative,1.0,нет шаблонов для повторяющихся переводов.
Анна,ux,positive,1.0,"понятный календарь платежей. И то, что можно сохранить черновик заявки."
Анна,ux,negative,1.0,тёмная тема нужна. И чтобы переводы по номеру телефона работали без глюков.
Дмитрий,ux,positive,1.0,"Дизайн нравится, но функционал для бизнеса слабый."
Дмитрий,feature,negative,1.0,функционал для бизнеса слабый. Я ожидал больше аналитики.
Дмитрий,speed,negative,1.0,после обновления стало тормозить меню.
Дмитрий,speed,negative,1.0,У меня часто вылетает приложение при просмотре истории операций. Это лаги.
Дмитрий,ux,negative,1.0,уведомления приходят с задержкой в час. Критично для мониторинга платежей.
Дмитрий,support,negative,1.0,Я писал в чат – отвечали сутки. Это несерьёзно для банка.
Дмитрий,feature,positive,1.0,Мне нравится график курсов валют.
Дмитрий,feature,negative,1.0,хотелось бы push-уведомления о крупных движениях.
Дмитрий,feature,negative,1.0,Я бы добавил аналитику расходов и доходов. Как в Тинькове.
Елена,ux,positive,1.0,"Мне нравится, что легко отследить ипотеку."
Елена,support,negative,1.0,поддержка – просто ад.
Елена,ux,positive,1.0,"оформление заявки на ипотеку – лучше, чем в Сбербанке."
Елена,support,negative,1.0,"Поддержка – просто тихий ужас. Вчера полчаса ждала ответа, потом сбросили."
Елена,feature,negative,1.0,"Я не могу отменить ошибочный перевод – только через поддержку, а она молчит."
Елена,speed,negative,1.0,Я боюсь делать крупные переводы вечером – вдруг не дойдут.
Елена,support,negative,1.0,"Меня соединили с оператором, он не знал, что делать, переключил на другого – тот сбросил."
Елена,support,negative,1.0,Хотелось бы иметь выделенного менеджера для ипотечных клиентов.
Елена,ux,positive,1.0,"Похвалю простой интерфейс ипотечного калькулятора. Он точный, в отличие от Райффайзена."
Елена,feature,negative,1.0,Мне не хватает push-уведомлений об изменении статуса ипотечной заявки.
Павел,speed,positive,1.0,Из плюсов – быстрые переводы по реквизитам.
Павел,feature,negative,1.0,"Меня бесит, что нельзя прикрепить несколько файлов к одному платежу."
Павел,speed,negative,1.0,"У меня лаги при входе – биометрия срабатывает через раз, потом требует пароль."
Павел,support,negative,1.0,"У меня случай – хотел заблокировать карту, пока ждал, карту взломали. Хорошо, сумма небольшая."
Павел,ux,positive,1.0,"Я ценю, что приложение не требует постоянного подтверждения."
Павел,ux,negative,1.0,хочу тёмную тему.
Павел,feature,negative,1.0,возможности оплатить несколько счетов одним скриншотом или QR.
